HPO name	Synonyms
All	
Abnormality of body height	Abnormality of body height
Multicystic kidney dysplasia	Multicystic dysplastic kidney, Multicystic kidneys, Multicystic renal dysplasia
Mode of inheritance	Inheritance
Autosomal dominant inheritance	Autosomal dominant, Autosomal dominant form, Autosomal dominant type
Autosomal recessive inheritance	Autosomal recessive, Autosomal recessive form, Autosomal recessive predisposition
Abnormality of female internal genitalia	
Functional abnormality of the bladder	Poor bladder function
Recurrent urinary tract infections	Frequent urinary tract infections, Urinary infection, Urinary tract infection, Urinary tract infections, Urinary tract infections, recurrent
Neurogenic bladder	Lack of bladder control due to nervous system injury
Urinary urgency	Overactive bladder, Overactive bladder syndrome, Urgency frequency syndrome, Urinary urgency
Hypoplasia of the uterus	Hypoplastic uterus, Rudimentary uterus, Small uterus, Underdeveloped uterus
Abnormality of the bladder	
Bladder diverticulum	Bladder diverticula
Urinary retention	Increased post-void residual urine volume
Nocturia	Nycturia
Urinary hesitancy	Difficulty with flow
Urinary incontinence	Bladder incontinence, Loss of bladder control
Megacystis	
Abnormality of male internal genitalia	
Inguinal hernia	
Prostatitis	Inflammation of the prostate
Functional abnormality of male internal genitalia	
Male hypogonadism	Decreased function of male gonad
Azoospermia	Absent sperm in semen
Cryptorchidism	Cryptorchism, Undescended testes, Undescended testis
Testicular atrophy	Testicular degeneration
Testicular gonadoblastoma	Gonadoblastoma, male
Epididymitis	
Abnormality of male external genitalia	
Ambiguous genitalia, male	Ambiguous genitalia in males
Hydrocele testis	Hydrocele, Testicular hydrocele
Abnormality of the testis	Abnormality of the testis, Anomaly of the testes
Abnormality of the penis	Abnormality of the penis
Male pseudohermaphroditism	
Epispadias	
Long penis	Enlarged penis, Long penis
Chordee	
Absent external genitalia	Absent external genitalia
Hypogonadotrophic hypogonadism	Hypogonadism, hypogonadotropic, Isolated hypogonadotropic hypogonadism, Low gonadotropins (secondary hypogonadism)
Abnormality of the scrotum	
Scrotal hypoplasia	Hypoplastic scrotum, Smaller than typical growth of scrotum
Hypospadias	Hypospadia
Bifid scrotum	Cleft of scrotum, Scrotal cleft
Shawl scrotum	Overriding scrotum, Scrotum surrounds penis
