PMID	Text
28617938	Fragile X syndrome: An overview and update of the FMR1 gene.         FMR1 expansion, FXPOI, FXTAS, fragile X syndrome, genetic counseling Fragile X syndrome (FXS) is the most common cause of inherited intellectual disability and the leading form of the monogenic cause of autism. Fragile X mental retardation type 1 (FMR1) gene premutation is the first single-gene cause of primary ovarian failure (Fragile X-associated primary ovarian insufficiency [FXPOI]) and one of the most common causes of ataxia (fragile X-associated tremor/ataxia syndrome [FXTAS]), multiple additional phenotypes such as fibromyalgia, hypothyroidism, migraine headaches, sleep disturbances, sleep apnea, restless legs syndrome, central pain syndrome, neuropathy and neuropsychiatric alterations has been described. Clinical involvement in men and women carrying the FMR1 premutation currently constitutes a real health problem in the society that should be taken into account. It is important to highlight that while in FXS there is a loss-of-function of the FMR1 gene, in premutation associated disorders there is a gain of FMR1 mRNA function. To date, the tremendous progress achieved in the understanding of the pathophysiology of FXS, has led to the development of several targeted therapies aimed at preventing or improving the neurological manifestations of the disease. This review is an update of the diseases associated with the FMR1 gene.          
28632163	Melatonin as a Novel Interventional Candidate for Fragile X Syndrome with Autism Spectrum Disorder in Humans.         autism spectrum disorders, fragile X syndrome (FXS), melatonin, sleep disorder Fragile X syndrome (FXS) is the most common monogenic form of autism spectrum disorder (ASD). FXS with ASD results from the loss of fragile X mental retardation (        fmr) gene products, including fragile X mental retardation protein (FMRP), which triggers a variety of physiological and behavioral abnormalities. This disorder is also correlated with clock components underlying behavioral circadian rhythms and, thus, a mutation of the fmr gene can result in disturbed sleep patterns and altered circadian rhythms. As a result, FXS with ASD individuals may experience dysregulation of melatonin synthesis and alterations in melatonin-dependent signaling pathways that can impair vigilance, learning, and memory abilities, and may be linked to autistic behaviors such as abnormal anxiety responses. Although a wide variety of possible causes, symptoms, and clinical features of ASD have been studied, the correlation between altered circadian rhythms and FXS with ASD has yet to be extensively investigated. Recent studies have highlighted the impact of melatonin on the nervous, immune, and metabolic systems and, even though the utilization of melatonin for sleep dysfunctions in ASD has been considered in clinical research, future studies should investigate its neuroprotective role during the developmental period in individuals with ASD. Thus, the present review focuses on the regulatory circuits involved in the dysregulation of melatonin and disruptions in the circadian system in individuals with FXS with ASD. Additionally, the neuroprotective effects of melatonin intervention therapies, including improvements in neuroplasticity and physical capabilities, are discussed and the molecular mechanisms underlying this disorder are reviewed. The authors suggest that melatonin may be a useful treatment for FXS with ASD in terms of alleviating the adverse effects of variations in the circadian rhythm.
11301211	Fragile X mice develop sensory hyperreactivity to auditory stimuli.          Fragile X syndrome is the most prevalent cause of mental retardation. It is usually caused by the transcriptional inactivation of the FMR-1 gene. Although the cognitive defect is the most recognized symptom of fragile X syndrome, patients also show behavioral problems such as hyperarousal, hyperactivity, autism, aggression, anxiety and increased sensitivity to sensory stimuli. Here we investigated whether fragile X mice (fmr-1 gene knockout mice) exhibit abnormal sensitivity to sensory stimuli. First, hyperreactivity of fragile X mice to auditory stimulus was indicated in the prepulse inhibition paradigm. A moderately intense prepulse tone, that suppresses startle response to a strong auditory stimulus, elicited a significantly stronger effect in fragile X than in control mice. Second, sensory hyperreactivity of fragile X mice was demonstrated by a high seizure susceptibility to auditory stimulation. Selective induction of c-Fos, an early-immediate gene product, indicated that seizures involve auditory brainstem and thalamic nuclei. Audiogenic seizures were not due to a general increase in brain excitability because three different chemical convulsants (kainic acid, bicuculline and pentylenetetrazole) elicited similar effects in fragile X and wild-type mice. These data are consistent with the increased responsiveness of fragile X patients to auditory stimuli. The auditory hypersensitivity suggests an abnormal processing in the auditory system of fragile X mice, which could provide a useful model to study the molecular and cellular changes underlying fragile X syndrome.        
25562659	Fragile X mice have robust mGluR5-dependent alterations of social behaviour in the Automated Tube Test.         ERK, Fragile X, Glutamate receptor, Social behaviour, Tube Fragile X syndrome is the most common monogenetic form of intellectual disability and autism. Although the Fmr1 knockout mouse model recapitulates many aspects of the human FXS condition, the establishment of robust social behavioural phenotypes suitable for drug screening has been difficult. Here, we describe a novel social behavioural paradigm, the Automated Tube Test (ATT), for which Fmr1 knockout mice demonstrate a highly reliable and robust phenotype. Fmr1 KO mice show highly dominant behaviour over wild-type littermates in the ATT. Consistent with previous findings, we observed a highly significant, albeit partial, rescue of the altered social behaviour of Fmr1 knockout mice in the ATT, using genetic (mGluR5 deletion) or pharmacological inhibition (mGluR5 antagonist) of mGluR5 signalling independently. Together, our results validate the Automated Tube Test as a robust outcome measure for social behaviour in preclinical research for FXS, and confirm the pathophysiological relevance of mGluR5 signalling. Moreover, our findings highlight the strategy of initiating pharmacological intervention in adulthood as holding significant clinical potential.           
26361565	Psychosis and catatonia in fragile X: Case report and literature review.         Catatonia, fragile X syndrome, premutation, psychosis Fragile X mental retardation 1 (FMR1) premutation associated phenotypes have been explored extensively since the molecular mechanism emerged involving elevated FMR1 messenger ribonucleic acid (mRNA) levels. Lowered fragile X mental retardation protein (FMRP) can also occur which may have an additive effect to the high levels of mRNA leading to neurodevelopmental problems and psychopathology. This paper was aimed to review psychosis and catatonia in premutation carriers, express the role of elevated FMR1 mRNA and lowered FMRP in the phenotype of carriers and present a case of psychosis and catatonia in a carrier. This case also demonstrates additional genetic and environmental factors which may also affect the phenotype. We review the literature and report an exemplary case of a 25 year old male premutation carrier with elevated FMR1 mRNA, low FMRP, a cytochrome P450 family 2 subfamily D polypeptide 6 (CYP2D6)*2xN mutation and a perinatal insult. This patient developed an autism spectrum disorder, psychosis, catatonia with subsequent cognitive decline after electro-convulsive therapy (ECT) for his catatonia. He had a premutation of 72 CGG repeat in FMR1, FMR1 mRNA level that was over 2.4 times normal and FMRP level at 18% of normal, and additionally, a CYP2D6 allelic variant which leads to ultrarapid metabolism (UM) of medication. There is an overlapping pathophysiological mechanism of catatonia and fragile X-associated premutation phenotypes including autism and psychosis. This case demonstrates the shared phenotype and the overlap of the pathophysiological mechanisms that can influence the intervention. Multiple genetic and environmental hits can lead to more significant involvement in premutation carriers.         
26365141	Advances in the Understanding of the Gabaergic Neurobiology of FMR1 Expanded Alleles Leading to Targeted Treatments for Fragile X Spectrum Disorder.          Fragile X spectrum disorder (FXSD) includes: fragile X syndrome (FXS), fragile X-associated tremor ataxia syndrome (FXTAS) and fragile X-associated primary ovarian insufficiency (FXPOI), as well as other medical, psychiatric and neurobehavioral problems associated with the premutation and gray zone alleles. FXS is the most common monogenetic cause of autism (ASD) and intellectual disability (ID). The understanding of the neurobiology of FXS has led to many targeted treatment trials in FXS. The first wave of phase II clinical trials in FXS were designed to target the mGluR5 pathway; however the results did not show significant efficacy and the trials were terminated. The advances in the understanding of the GABA system in FXS have shifted the focus of treatment trials to GABA agonists, and a new wave of promising clinical trials is under way. Ganaxolone and allopregnanolone (GABA agonists) have been studied in individuals with FXSD and are currently in phase II trials. Both allopregnanolone and ganaxolone may be efficacious in treatment of FXS and FXTAS, respectively. Allopregnanolone, ganaxolone, riluzole, gaboxadol, tiagabine, and vigabatrin are potential GABAergic treatments. The lessons learned from the initial trials have not only shifted the targeted system, but also have refined the design of clinical trials. The results of these new trials will likely impact further clinical trials for FXS and other genetic disorders associated with ASD.         
26374839	Crystal structure reveals specific recognition of a G-quadruplex RNA by a β-turn in the RGG motif of FMRP.         FMRP, G-quadruplex, RGG box, RNA structure, fragile X syndrome Fragile X Mental Retardation Protein (FMRP) is a regulatory RNA binding protein that plays a central role in the development of several human disorders including Fragile X Syndrome (FXS) and autism. FMRP uses an arginine-glycine-rich (RGG) motif for specific interactions with guanine (G)-quadruplexes, mRNA elements implicated in the disease-associated regulation of specific mRNAs. Here we report the 2.8-Å crystal structure of the complex between the human FMRP RGG peptide bound to the in vitro selected G-rich RNA. In this model system, the RNA adopts an intramolecular K(+)-stabilized G-quadruplex structure composed of three G-quartets and a mixed tetrad connected to an RNA duplex. The RGG peptide specifically binds to the duplex-quadruplex junction, the mixed tetrad, and the duplex region of the RNA through shape complementarity, cation-π interactions, and multiple hydrogen bonds. Many of these interactions critically depend on a type I β-turn, a secondary structure element whose formation was not previously recognized in the RGG motif of FMRP. RNA mutagenesis and footprinting experiments indicate that interactions of the peptide with the duplex-quadruplex junction and the duplex of RNA are equally important for affinity and specificity of the RGG-RNA complex formation. These results suggest that specific binding of cellular RNAs by FMRP may involve hydrogen bonding with RNA duplexes and that RNA duplex recognition can be a characteristic RNA binding feature for RGG motifs in other proteins.         
24046358	Fragile X mental retardation protein regulates trans-synaptic signaling in Drosophila.          Fragile X syndrome (FXS), the most common inherited determinant of intellectual disability and autism spectrum disorders, is caused by loss of the fragile X mental retardation 1 (FMR1) gene product (FMRP), an mRNA-binding translational repressor. A number of conserved FMRP targets have been identified in the well-characterized Drosophila FXS disease model, but FMRP is highly pleiotropic in function and the full spectrum of FMRP targets has yet to be revealed. In this study, screens for upregulated neural proteins in Drosophila fmr1 (dfmr1) null mutants reveal strong elevation of two synaptic heparan sulfate proteoglycans (HSPGs): GPI-anchored glypican Dally-like protein (Dlp) and transmembrane Syndecan (Sdc). Our recent work has shown that Dlp and Sdc act as co-receptors regulating extracellular ligands upstream of intracellular signal transduction in multiple trans-synaptic pathways that drive synaptogenesis. Consistently, dfmr1 null synapses exhibit altered WNT signaling, with changes in both Wingless (Wg) ligand abundance and downstream Frizzled-2 (Fz2) receptor C-terminal nuclear import. Similarly, a parallel anterograde signaling ligand, Jelly belly (Jeb), and downstream ERK phosphorylation (dpERK) are depressed at dfmr1 null synapses. In contrast, the retrograde BMP ligand Glass bottom boat (Gbb) and downstream signaling via phosphorylation of the transcription factor MAD (pMAD) seem not to be affected. To determine whether HSPG upregulation is causative for synaptogenic defects, HSPGs were genetically reduced to control levels in the dfmr1 null background. HSPG correction restored both (1) Wg and Jeb trans-synaptic signaling, and (2) synaptic architecture and transmission strength back to wild-type levels. Taken together, these data suggest that FMRP negatively regulates HSPG co-receptors controlling trans-synaptic signaling during synaptogenesis, and that loss of this regulation causes synaptic structure and function defects characterizing the FXS disease state.         
24050404	CYFIP1 coordinates mRNA translation and cytoskeleton remodeling to ensure proper dendritic spine formation.          The CYFIP1/SRA1 gene is located in a chromosomal region linked to various neurological disorders, including intellectual disability, autism, and schizophrenia. CYFIP1 plays a dual role in two apparently unrelated processes, inhibiting local protein synthesis and favoring actin remodeling. Here, we show that brain-derived neurotrophic factor (BDNF)-driven synaptic signaling releases CYFIP1 from the translational inhibitory complex, triggering translation of target mRNAs and shifting CYFIP1 into the WAVE regulatory complex. Active Rac1 alters the CYFIP1 conformation, as demonstrated by intramolecular FRET, and is key in changing the equilibrium of the two complexes. CYFIP1 thus orchestrates the two molecular cascades, protein translation and actin polymerization, each of which is necessary for correct spine morphology in neurons. The CYFIP1 interactome reveals many interactors associated with brain disorders, opening new perspectives to define regulatory pathways shared by neurological disabilities characterized by spine dysmorphogenesis.          
24065579	Think about it: FMR1 gene mosaicism.         fragile X syndrome, intellectual disability, mosaicism Fragile X syndrome (FXS) is one of the most frequent causes of mental retardation, intellectual disability, and autism. Most cases are the result of an expansion of the CGG trinucleotide repeat in the 5' untranslated region of the FMR1 gene and the subsequent functional loss of the related protein. We describe the case of a 4-year-old boy who clinically presents mild psychomotor delay without any major clinical dysmorphisms. Molecular analysis of the FMR1 gene showed mosaicism in terms of size and methylation, with one normal and 1 fully mutated allele, which is very rare in this syndrome. Physicians should therefore consider a diagnosis of FXS even if the patient's phenotype is mild. Although rare, diagnosing this condition has important consequences for the patient's rehabilitation and the family planning of parents and relatives.           
